"Time","Frequency A27FD0AE (Ch Matanda - Control room)","Frequency E62B2EA3 (Ch Matanda - Radiologie)","Voltage A27FD0AE (Ch Matanda - Control room)","Voltage E62B2EA3 (Ch Matanda - Radiologie)"
2023-01-08 13:26:00,50.2,50.2,221,222
2023-01-08 13:28:00,49.9,49.9,221,221
2023-01-08 13:30:00,50.0,49.9,220,221
2023-01-08 13:32:00,49.9,49.9,219,219
2023-01-08 13:34:00,49.9,49.9,220,220
2023-01-08 13:36:00,50.0,50.1,220,220
2023-01-08 13:38:00,50.3,50.4,218,218
2023-01-08 13:40:00,50.2,50.2,218,219
2023-01-08 13:42:00,50.5,50.4,221,221
2023-01-08 13:44:00,50.1,50.1,220,220
2023-01-08 13:46:00,50.0,50.0,220,220
2023-01-08 13:48:00,50.0,50.0,221,221
2023-01-08 13:50:00,49.8,49.9,216,216
2023-01-08 13:52:00,49.6,49.7,217,217
2023-01-08 13:54:00,49.9,49.8,216,216
2023-01-08 13:56:00,50.0,50.0,214,213
2023-01-08 13:58:00,50.0,50.0,216,216
2023-01-08 14:00:00,50.0,49.8,218,219
2023-01-08 14:02:00,50.1,50.1,219,219
2023-01-08 14:04:00,50.1,50.1,219,219
2023-01-08 14:06:00,49.9,49.9,213,214
2023-01-08 14:08:00,49.5,49.7,216,216
2023-01-08 14:10:00,49.8,49.7,216,219
2023-01-08 14:12:00,49.8,49.8,217,218
2023-01-08 14:14:00,50.2,50.1,218,217
2023-01-08 14:16:00,50.0,50.0,216,218
2023-01-08 14:18:00,49.7,49.8,218,217
2023-01-08 14:20:00,50.0,49.9,218,219
2023-01-08 14:22:00,50.0,50.0,216,216
2023-01-08 14:24:00,49.9,50.1,219,219
2023-01-08 14:26:00,50.0,50.2,218,218
2023-01-08 14:28:00,49.8,49.8,216,216
2023-01-08 14:30:00,50.0,50.1,218,218
2023-01-08 14:32:00,49.7,49.9,217,217
2023-01-08 14:34:00,50.2,50.3,220,220
2023-01-08 14:36:00,50.0,50.0,219,219
2023-01-08 14:38:00,50.1,50.2,215,215
2023-01-08 14:40:00,50.0,50.1,219,220
2023-01-08 14:42:00,49.9,50.0,221,219
2023-01-08 14:44:00,49.8,49.8,215,217
2023-01-08 14:46:00,50.0,50.0,220,221
2023-01-08 14:48:00,50.0,49.9,221,221
2023-01-08 14:50:00,50.2,50.1,211,212
2023-01-08 14:52:00,49.9,49.9,219,219
2023-01-08 14:54:00,50.1,50.1,220,220
2023-01-08 14:56:00,50.1,50.2,214,214
2023-01-08 14:58:00,50.0,50.0,216,219
2023-01-08 15:00:00,50.1,50.2,216,219
2023-01-08 15:02:00,50.2,50.1,220,220
2023-01-08 15:04:00,50.1,50.2,219,219
2023-01-08 15:06:00,49.6,49.7,219,219
2023-01-08 15:08:00,49.8,49.8,220,221
2023-01-08 15:10:00,49.8,49.9,219,219
2023-01-08 15:12:00,49.9,50.0,217,217
2023-01-08 15:14:00,49.8,49.8,219,219
2023-01-08 15:16:00,50.0,50,220,220
2023-01-08 15:18:00,50.0,49.8,217,217
2023-01-08 15:20:00,49.9,49.9,219,219
2023-01-08 15:22:00,49.8,49.8,220,220
2023-01-08 15:24:00,50.1,50.2,216,216
2023-01-08 15:26:00,50.0,50.0,219,219
2023-01-08 15:28:00,50.0,50.1,218,219
2023-01-08 15:30:00,49.8,49.7,215,216
2023-01-08 15:32:00,49.7,49.6,215,214
2023-01-08 15:34:00,49.8,49.8,217,218
2023-01-08 15:36:00,50.0,50.0,219,219
2023-01-08 15:38:00,50.2,50.1,219,220
2023-01-08 15:40:00,49.9,49.8,219,216
2023-01-08 15:42:00,50.0,50.1,220,220
2023-01-08 15:44:00,50.2,50.2,221,221
2023-01-08 15:46:00,49.9,49.9,221,221
2023-01-08 15:48:00,50.1,50.2,220,220
2023-01-08 15:50:00,50.0,50.1,220,220
2023-01-08 15:52:00,50.0,50.0,219,219
2023-01-08 15:54:00,50.1,50.0,219,219
2023-01-08 15:56:00,50.0,50.1,220,221
2023-01-08 15:58:00,50.0,50.0,221,221
2023-01-08 16:00:00,50.2,50.2,221,221
2023-01-08 16:02:00,50.2,50.1,221,221
2023-01-08 16:04:00,49.9,49.9,221,221
2023-01-08 16:06:00,49.7,49.7,221,221
2023-01-08 16:08:00,49.9,49.8,221,222
2023-01-08 16:10:00,50.1,50.1,221,222
2023-01-08 16:12:00,50.2,50.2,223,223
2023-01-08 16:14:00,49.9,50.0,222,222
2023-01-08 16:16:00,49.9,50.0,222,223
2023-01-08 16:18:00,50.3,50.3,223,223
2023-01-08 16:20:00,49.9,49.9,223,223
2023-01-08 16:22:00,49.9,49.9,222,223
2023-01-08 16:24:00,50.0,50.0,222,222
2023-01-08 16:26:00,50.2,50.2,223,223
2023-01-08 16:28:00,49.9,49.8,222,222
2023-01-08 16:30:00,50.2,50.1,222,222
2023-01-08 16:32:00,50.1,50.1,221,222
2023-01-08 16:34:00,49.8,49.8,221,221
2023-01-08 16:36:00,49.8,49.9,222,222
2023-01-08 16:38:00,49.7,49.7,221,221
2023-01-08 16:40:00,49.8,49.9,222,223
2023-01-08 16:42:00,50.0,50.0,222,223
2023-01-08 16:44:00,50.2,50.2,221,221
2023-01-08 16:46:00,50.0,49.9,221,222
2023-01-08 16:48:00,50.1,50.2,222,222
2023-01-08 16:50:00,50.0,50.0,221,222
2023-01-08 16:52:00,49.8,49.9,221,221
2023-01-08 16:54:00,50,50.0,221,221
2023-01-08 16:56:00,49.9,49.8,221,221
2023-01-08 16:58:00,49.9,49.8,221,221
2023-01-08 17:00:00,50.0,50.0,221,221
2023-01-08 17:02:00,50.0,50.0,222,222
2023-01-08 17:04:00,49.9,49.9,221,222
2023-01-08 17:06:00,50.0,50.0,223,223
2023-01-08 17:08:00,50.0,50.1,223,223
2023-01-08 17:10:00,49.8,49.8,223,223
2023-01-08 17:12:00,49.8,49.8,221,222
2023-01-08 17:14:00,49.9,49.8,223,223
2023-01-08 17:16:00,49.8,49.9,222,223
2023-01-08 17:18:00,50.1,50.1,223,223
2023-01-08 17:20:00,50.0,50.0,222,223
2023-01-08 17:22:00,50.0,50.0,222,223
2023-01-08 17:24:00,50.0,50.1,223,223
2023-01-08 17:26:00,49.9,49.9,222,223
2023-01-08 17:28:00,49.8,49.8,221,221
2023-01-08 17:30:00,49.8,49.8,221,222
2023-01-08 17:32:00,50.0,50.1,221,221
2023-01-08 17:34:00,50.0,50,221,221
2023-01-08 17:36:00,50.1,50.0,221,221
2023-01-08 17:38:00,49.9,49.8,221,221
2023-01-08 17:40:00,49.8,49.9,221,221
2023-01-08 17:42:00,49.9,49.9,221,221
2023-01-08 17:44:00,50.0,50.0,222,222
2023-01-08 17:46:00,50.0,50.0,222,223
